id	mass_fg	initial_count	molecule_class
CA2_CYT[c]	6.66e-08	361	metabolite
CA2_DTS[dts]	6.66e-08	38842	metabolite
ATP[c]	8.424e-07	10839600	metabolite
ADP[c]	7.096e-07	1083960	metabolite
PI[c]	1.58e-07	361320	metabolite
5HT[dg]	2.927e-07	3500000	metabolite
ADP[dg]	7.096e-07	400000	metabolite
IP3[c]	6.977e-07	181	metabolite
GP1BA[c]	0.0001378	25000	protein
ITGA2B[c]	0.0002149	80000	protein
ACTB[c]	6.933e-05	2000000	protein
FGA[ag]	0.0005647	30000	protein
SELP[ag]	0.0001493	30000	protein
IP3R_h[dts]	0.000511	1212	protein
SERCA_E1[dts]	0.0001814	5895	protein
SERCA_E2[dts]	0.0001814	5915	protein
SERCA_E1Ca[dts]	0.0001814	18	protein
SERCA_E1PCa[dts]	0.0001814	22	protein
SERCA_E2PCa[dts]	0.0001814	18	protein
SERCA_E2P[dts]	0.0001814	24	protein
PMCA[pl]	0.0002114	765	protein
PMCA_Ca[pl]	0.0002114	4	protein
Ca4_CaM_PMCA[pl]	0.0002391	0	protein
Ca4_CaM_PMCA_Ca[pl]	0.0002391	0	protein
PMCA_CaM[pl]	0.0002391	0	protein
CaM_free[c]	2.775e-05	20062	protein
Ca2_CaM[c]	2.775e-05	200	protein
Ca4_CaM[c]	2.775e-05	219	protein
GSN_free[c]	2.79e-05	1272727	protein
GSN_Ca[c]	2.79e-05	127273	protein
CALR_free[dts]	3.056e-06	406480	protein
CALR_Ca[dts]	3.056e-06	101620	protein
CALR_P_free[dts]	2.939e-06	81	protein
CALR_P_Ca[dts]	2.939e-06	20243	protein
HSP90B1_M_free[dts]	1.019e-05	317	protein
HSP90B1_M_Ca[dts]	1.019e-05	39683	protein
HSP90B1_L_free[dts]	1.019e-05	77647	protein
HSP90B1_L_Ca[dts]	1.019e-05	32353	protein
BiP_free[dts]	0.0001296	33333	protein
BiP_Ca[dts]	0.0001296	16667	protein
CREC_free[dts]	1.58e-05	48000	protein
CREC_Ca[dts]	1.58e-05	12000	protein
STIM1_free[dts]	0.0001285	438	protein
STIM1_Ca[dts]	0.0001285	3805	protein
STIM1_dim[dts]	0.000257	11	protein
ORAI1[pl]	5.108e-05	1447	protein
P2X1[pl]	0.0002241	1000	protein
P2X1_O[pl]	0.0002241	0	protein
P2X1_D[pl]	0.0002241	0	protein
PIP2[c]	1.74e-06	1120000	metabolite
DAG[c]	9.97e-07	56	metabolite
PLCb_inactive[c]	0.000229	857	protein
PLCb_active[c]	0.000229	143	protein
CA2_MITO[m]	6.66e-08	1000	metabolite
P2Y1_inactive[pl]	8.3e-05	150	protein
P2Y1_active[pl]	8.3e-05	0	protein
PAR1_inactive[pl]	8.3e-05	2500	protein
PAR1_active[pl]	8.3e-05	0	protein
PAR1_internalized[pl]	8.3e-05	0	protein
PAR4_inactive[pl]	8.3e-05	500	protein
PAR4_active[pl]	8.3e-05	0	protein
PAR4_internalized[pl]	8.3e-05	0	protein
Gq_active[c]	6.97e-05	100	protein
PKC_inactive[c]	1.276e-04	10000	protein
PKC_active[c]	1.276e-04	0	protein
P2Y1_desensitised[pl]	8.3e-05	0	protein
PLCb_phosphorylated[c]	0.000229	0	protein
ADP[e]	7.096e-07	0	metabolite
5HT[e]	2.927e-07	0	metabolite
FGA[e]	0.0005647	0	protein
SELP_surface[pl]	0.0001493	0	protein
AMP[e]	7.096e-07	0	metabolite
TXA2[e]	5.85e-07	0	metabolite
TXB2[e]	6.15e-07	0	metabolite
TP_inactive[pl]	6.21e-05	1000	protein
TP_active[pl]	6.21e-05	0	protein
aIIbb3_resting[pl]	0.0001494	80000	protein
aIIbb3_active[pl]	0.0001494	0	protein
P2Y12_inactive[pl]	8.3e-05	425	protein
P2Y12_active[pl]	8.3e-05	0	protein
cAMP[c]	5.47e-07	3613	metabolite
VASP[c]	6.61e-05	19770	protein
VASP_phos[c]	6.61e-05	30230	protein
